Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
AVPR2,"0003077 // negative regulation of diuresis // inferred from electronic annotation /// 0003080 // negative regulation of natriuresis // inferred from electronic annotation /// 0003084 // positive regulation of systemic arterial blood pressure // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // not recorded /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007188 // G-protein signaling, coupled to cAMP nucleotide second messenger // traceable author statement /// 0007190 // activation of adenylate cyclase activity // traceable author statement /// 0007249 // I-kappaB kinase/NF-kappaB cascade // inferred from electronic annotation /// 0007588 // excretion // traceable author statement /// 0007599 // hemostasis // traceable author statement /// 0008284 // positive regulation of cell proliferation // inferred from electronic annotation /// 0010628 // positive regulation of gene expression // inferred from sequence or structural similarity /// 0010628 // positive regulation of gene expression // inferred from electronic annotation /// 0021537 // telencephalon development // inferred from electronic annotation /// 0032609 // interferon-gamma production // inferred from electronic annotation /// 0034097 // response to cytokine stimulus // inferred from electronic annotation",0005768 // endosome // traceable author statement /// 0005783 // endoplasmic reticulum // traceable author statement /// 0005794 // Golgi apparatus // traceable author statement /// 0005886 // plasma membrane // inferred from electronic annotation /// 0005886 // plasma membrane // traceable author statement /// 0005887 // integral to plasma membrane // traceable author statement /// 0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // non-traceable author statement /// 0016021 // integral to membrane // inferred from electronic annotation,0004871 // signal transducer activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0004930 // G-protein coupled receptor activity // inferred from electronic annotation /// 0005000 // vasopressin receptor activity // traceable author statement /// 0005000 // vasopressin receptor activity // inferred from electronic annotation,GPCRDB_Class_A_Rhodopsin-like // GenMAPP /// Peptide_GPCRs // GenMAPP
KRTAP4-11,---,0005882 // intermediate filament // inferred from electronic annotation /// 0045095 // keratin filament // inferred from electronic annotation,---,---
PMCHL1,0007268 // synaptic transmission // inferred from electronic annotation /// 0007610 // behavior // non-traceable author statement,0005576 // extracellular region // non-traceable author statement,0030354 // melanin-concentrating hormone activity // inferred from electronic annotation,---
GSTM2P1,---,---,---,---
MALAT1,---,---,---,---
CAMKV,0006468 // protein amino acid phosphorylation // inferred from electronic annotation,0005886 // plasma membrane // inferred from electronic annotation /// 0016020 // membrane // inferred from electronic annotation /// 0030659 // cytoplasmic vesicle membrane // inferred from electronic annotation /// 0031410 // cytoplasmic vesicle // inferred from electronic annotation,0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0005516 // calmodulin binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation,---
SCOC,---,0005634 // nucleus // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from electronic annotation,---,---
FGD3,0006915 // apoptosis // not recorded /// 0007010 // cytoskeleton organization // inferred from sequence or structural similarity /// 0008360 // regulation of cell shape // inferred from sequence or structural similarity /// 0008624 // induction of apoptosis by extracellular signals // not recorded /// 0030036 // actin cytoskeleton organization // inferred from sequence or structural similarity /// 0035023 // regulation of Rho protein signal transduction // inferred from electronic annotation /// 0043088 // regulation of Cdc42 GTPase activity // inferred from sequence or structural similarity /// 0046847 // filopodium assembly // inferred from sequence or structural similarity /// 0046847 // filopodium assembly // inferred from electronic annotation,0001726 // ruffle // inferred from sequence or structural similarity /// 0005622 // intracellular // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from sequence or structural similarity /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from sequence or structural similarity /// 0005829 // cytosol // not recorded /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0030027 // lamellipodium // inferred from sequence or structural similarity,0005085 // guanyl-nucleotide exchange factor activity // not recorded /// 0005085 // guanyl-nucleotide exchange factor activity // inferred from sequence or structural similarity /// 0005085 // guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005089 // Rho guanyl-nucleotide exchange factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0031267 // small GTPase binding // inferred from sequence or structural similarity /// 0046872 // metal ion binding // inferred from electronic annotation,---
ARPC3,0006928 // cellular component movement // traceable author statement /// 0007049 // cell cycle // inferred from electronic annotation /// 0007067 // mitosis // inferred from electronic annotation /// 0030833 // regulation of actin filament polymerization // inferred from electronic annotation /// 0051301 // cell division // inferred from electronic annotation /// 0070979 // protein K11-linked ubiquitination // inferred from direct assay,0005680 // anaphase-promoting complex // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005885 // Arp2/3 protein complex // traceable author statement /// 0015629 // actin cytoskeleton // traceable author statement /// 0030027 // lamellipodium // inferred from electronic annotation /// 0042995 // cell projection // inferred from electronic annotation,0003779 // actin binding // inferred from electronic annotation /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation,---
LOC643446,"0000184 // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // inferred from electronic annotation /// 0000398 // nuclear mRNA splicing, via spliceosome // non-traceable author statement /// 0006350 // transcription // traceable author statement /// 0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // not recorded /// 0008380 // RNA splicing // inferred from electronic annotation /// 0008380 // RNA splicing // traceable author statement",0005634 // nucleus // inferred from electronic annotation /// 0005634 // nucleus // traceable author statement /// 0005634 // nucleus // non-traceable author statement /// 0005737 // cytoplasm // inferred from electronic annotation /// 0016607 // nuclear speck // inferred from electronic annotation,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003723 // RNA binding // traceable author statement /// 0003729 // mRNA binding // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction,mRNA_processing_Reactome // GenMAPP
